audit_id,department_id,audit_type,findings_count,audit_result,audit_date
AUD0001,D001,Compliance Review,2,Fail,2021-09-30
AUD0002,D003,External Audit,0,Pass,2019-12-23
AUD0003,D001,Internal Audit,7,Fail,2020-01-19
AUD0004,D004,Fraud Investigation,0,Pass,2019-04-19
AUD0005,D012,ISO 27001 Review,4,Fail,2023-09-15
AUD0006,D008,SOX Audit,0,Pass,2022-02-13
AUD0007,D003,Operational Audit,1,Adverse,2022-10-25
AUD0008,D003,IT Audit,0,Pass,2022-10-10
AUD0009,D002,Operational Audit,0,Pass,2020-02-01
AUD0010,D006,SOX Audit,0,Pass,2021-12-19
AUD0011,D012,Third-Party Audit,2,Adverse,2020-05-26
AUD0012,D009,Compliance Review,2,Qualified Pass,2023-01-21
AUD0013,D012,External Audit,4,Fail,2019-07-07
AUD0014,D005,External Audit,4,Fail,2021-08-11
AUD0015,D007,Compliance Review,4,Adverse,2024-02-01
AUD0016,D006,Regulatory Inspection,14,Fail,2023-02-25
AUD0017,D004,ISO 27001 Review,0,Pass,2021-12-29
AUD0018,D011,ISO 27001 Review,15,Fail,2019-10-20
AUD0019,D003,Fraud Investigation,11,Fail,2021-09-29
AUD0020,D008,Operational Audit,0,Pass,2022-01-10
AUD0021,D009,IT Audit,12,Fail,2022-08-21
AUD0022,D001,IT Audit,25,Adverse,2019-05-12
AUD0023,D007,Compliance Review,11,Adverse,2019-09-29
AUD0024,D010,Financial Audit,0,Pass,2021-05-20
AUD0025,D007,ISO 27001 Review,8,Fail,2024-02-23
AUD0026,D005,Regulatory Inspection,0,Pass,2021-10-07
AUD0027,D009,Compliance Review,9,Fail,2023-10-21
AUD0028,D006,IT Audit,7,Fail,2020-07-20
AUD0029,D002,Internal Audit,8,Fail,2020-03-25
AUD0030,D011,Regulatory Inspection,0,Pass,2023-09-26
AUD0031,D007,Operational Audit,2,Fail,2024-04-01
AUD0032,D009,Internal Audit,5,Fail,2020-04-14
AUD0033,D009,Compliance Review,15,Fail,2022-10-25
AUD0034,D005,Operational Audit,0,Pass,2020-10-09
AUD0035,D012,Compliance Review,1,Qualified Pass,2024-08-12
AUD0036,D009,External Audit,6,Adverse,2022-05-07
AUD0037,D009,SOX Audit,21,Adverse,2021-03-25
AUD0038,D006,Regulatory Inspection,0,Pass,2024-12-12
AUD0039,D010,Financial Audit,0,Pass,2024-06-24
AUD0040,D002,Financial Audit,0,Pass,2022-06-13
AUD0041,D001,IT Audit,0,Pass,2019-11-19
AUD0042,D012,Third-Party Audit,0,Pass,2019-10-11
AUD0043,D003,Regulatory Inspection,18,Adverse,2024-04-30
AUD0044,D005,Fraud Investigation,3,Fail,2023-09-30
AUD0045,D009,IT Audit,0,Pass,2022-06-30
AUD0046,D011,Financial Audit,11,Qualified Pass,2023-11-30
AUD0047,D002,IT Audit,8,Fail,2021-07-09
AUD0048,D006,Internal Audit,0,Pass,2021-07-31
AUD0049,D001,External Audit,4,Fail,2019-08-30
AUD0050,D002,Internal Audit,0,Pass,2022-09-15
AUD0051,D009,IT Audit,0,Pass,2022-02-14
AUD0052,D004,Fraud Investigation,8,Fail,2020-06-25
AUD0053,D010,SOX Audit,15,Fail,2024-04-20
AUD0054,D008,Operational Audit,0,Pass,2021-02-18
AUD0055,D002,ISO 27001 Review,0,Pass,2023-11-01
AUD0056,D007,Operational Audit,0,Pass,2024-03-27
AUD0057,D001,ISO 27001 Review,24,Adverse,2020-02-08
AUD0058,D007,Financial Audit,0,Pass,2020-03-23
AUD0059,D004,IT Audit,0,Pass,2024-01-12
AUD0060,D007,Regulatory Inspection,0,Pass,2022-02-14
AUD0061,D002,Third-Party Audit,4,Qualified Pass,2020-02-06
AUD0062,D011,Fraud Investigation,0,Pass,2019-03-02
AUD0063,D004,Regulatory Inspection,0,Pass,2023-07-23
AUD0064,D004,Operational Audit,8,Qualified Pass,2019-08-29
AUD0065,D007,Internal Audit,0,Pass,2023-05-19
AUD0066,D008,Compliance Review,0,Pass,2023-09-29
AUD0067,D009,ISO 27001 Review,12,Fail,2024-06-16
AUD0068,D004,Compliance Review,0,Pass,2021-06-10
AUD0069,D010,Fraud Investigation,0,Pass,2019-09-07
AUD0070,D001,Internal Audit,6,Fail,2024-05-06
AUD0071,D009,Regulatory Inspection,15,Fail,2019-08-21
AUD0072,D003,External Audit,2,Fail,2019-10-06
AUD0073,D004,Operational Audit,14,Fail,2020-05-06
AUD0074,D010,SOX Audit,4,Fail,2019-06-12
AUD0075,D007,ISO 27001 Review,2,Fail,2024-11-11
AUD0076,D005,IT Audit,0,Pass,2022-07-10
AUD0077,D005,Operational Audit,0,Pass,2020-06-20
AUD0078,D005,Third-Party Audit,11,Fail,2022-07-19
AUD0079,D001,Third-Party Audit,3,Adverse,2020-02-14
AUD0080,D009,IT Audit,0,Pass,2024-09-03
AUD0081,D003,Financial Audit,0,Pass,2019-10-09
AUD0082,D006,Compliance Review,0,Pass,2020-10-08
AUD0083,D009,Compliance Review,14,Qualified Pass,2024-12-06
AUD0084,D011,Fraud Investigation,0,Pass,2022-05-11
AUD0085,D003,Compliance Review,2,Fail,2020-04-17
AUD0086,D012,Fraud Investigation,0,Pass,2020-09-28
AUD0087,D005,SOX Audit,0,Pass,2021-05-12
AUD0088,D004,ISO 27001 Review,6,Fail,2021-12-17
AUD0089,D005,Internal Audit,8,Fail,2020-01-14
AUD0090,D005,Internal Audit,7,Fail,2019-01-15
AUD0091,D003,ISO 27001 Review,0,Pass,2021-12-08
AUD0092,D012,Third-Party Audit,0,Pass,2023-10-18
AUD0093,D002,External Audit,1,Fail,2020-09-02
AUD0094,D006,SOX Audit,1,Fail,2020-08-29
AUD0095,D001,Compliance Review,3,Qualified Pass,2023-02-02
AUD0096,D006,IT Audit,2,Adverse,2021-10-19
AUD0097,D006,Fraud Investigation,2,Fail,2023-07-23
AUD0098,D003,IT Audit,12,Fail,2020-10-27
AUD0099,D007,Internal Audit,6,Adverse,2021-01-04
AUD0100,D006,Operational Audit,15,Fail,2021-10-13
AUD0101,D003,External Audit,0,Pass,2023-04-16
AUD0102,D008,IT Audit,2,Adverse,2021-03-28
AUD0103,D006,Compliance Review,15,Adverse,2021-07-21
AUD0104,D001,ISO 27001 Review,0,Pass,2021-03-02
AUD0105,D005,External Audit,6,Qualified Pass,2022-02-17
AUD0106,D011,Fraud Investigation,0,Pass,2023-06-26
AUD0107,D009,Financial Audit,14,Fail,2019-04-24
AUD0108,D005,Regulatory Inspection,0,Pass,2021-12-23
AUD0109,D002,SOX Audit,0,Pass,2023-11-15
AUD0110,D012,Financial Audit,0,Pass,2023-11-23
AUD0111,D002,Operational Audit,9,Fail,2021-02-17
AUD0112,D001,Operational Audit,0,Pass,2019-01-07
AUD0113,D009,ISO 27001 Review,15,Fail,2021-03-18
AUD0114,D007,External Audit,0,Pass,2022-09-14
AUD0115,D011,External Audit,6,Fail,2022-05-15
AUD0116,D011,Operational Audit,5,Fail,2022-08-29
AUD0117,D005,Fraud Investigation,12,Qualified Pass,2020-06-05
AUD0118,D007,ISO 27001 Review,0,Pass,2023-04-02
AUD0119,D003,SOX Audit,12,Fail,2022-05-17
AUD0120,D001,Compliance Review,9,Qualified Pass,2022-03-21
AUD0121,D007,SOX Audit,0,Pass,2022-08-12
AUD0122,D008,ISO 27001 Review,8,Qualified Pass,2021-05-25
AUD0123,D012,Regulatory Inspection,8,Fail,2019-12-14
AUD0124,D009,ISO 27001 Review,0,Pass,2022-10-04
AUD0125,D004,ISO 27001 Review,0,Pass,2022-06-25
AUD0126,D004,Regulatory Inspection,0,Pass,2019-04-11
AUD0127,D004,Third-Party Audit,0,Pass,2019-10-26
AUD0128,D011,SOX Audit,7,Qualified Pass,2021-03-07
AUD0129,D007,Third-Party Audit,12,Fail,2023-06-25
AUD0130,D003,ISO 27001 Review,0,Pass,2019-01-23
AUD0131,D002,Operational Audit,25,Adverse,2021-06-15
AUD0132,D012,Fraud Investigation,0,Pass,2024-03-17
AUD0133,D009,IT Audit,0,Pass,2020-05-12
AUD0134,D008,ISO 27001 Review,3,Qualified Pass,2024-12-15
AUD0135,D006,Third-Party Audit,10,Fail,2024-08-29
AUD0136,D009,Third-Party Audit,14,Qualified Pass,2020-10-13
AUD0137,D008,Third-Party Audit,14,Fail,2021-11-27
AUD0138,D011,Compliance Review,8,Adverse,2024-11-05
AUD0139,D004,Compliance Review,11,Qualified Pass,2023-12-07
AUD0140,D012,Compliance Review,0,Pass,2021-08-18
AUD0141,D006,Financial Audit,0,Pass,2019-11-27
AUD0142,D003,IT Audit,0,Pass,2023-04-18
AUD0143,D012,IT Audit,3,Fail,2019-09-21
AUD0144,D006,Fraud Investigation,7,Qualified Pass,2024-03-23
AUD0145,D004,Operational Audit,1,Qualified Pass,2023-05-15
AUD0146,D012,Internal Audit,19,Adverse,2023-04-08
AUD0147,D006,Compliance Review,1,Qualified Pass,2023-05-17
AUD0148,D009,Fraud Investigation,14,Adverse,2021-06-22
AUD0149,D005,Operational Audit,4,Qualified Pass,2024-06-12
AUD0150,D007,Financial Audit,0,Pass,2023-07-15
AUD0151,D008,Regulatory Inspection,3,Fail,2024-12-27
AUD0152,D007,SOX Audit,0,Pass,2019-04-22
AUD0153,D011,Operational Audit,0,Pass,2020-07-09
AUD0154,D003,Internal Audit,15,Adverse,2021-12-01
AUD0155,D004,Third-Party Audit,6,Qualified Pass,2022-08-31
AUD0156,D007,Compliance Review,0,Pass,2023-09-23
AUD0157,D002,Third-Party Audit,0,Pass,2019-03-21
AUD0158,D001,Financial Audit,9,Fail,2021-07-07
AUD0159,D011,Internal Audit,2,Fail,2019-05-08
AUD0160,D004,Internal Audit,0,Pass,2020-09-16
AUD0161,D003,Third-Party Audit,0,Pass,2020-04-13
