incident_id,department_id,incident_type,severity,incident_date,status,resolution_time_days
INC0001,D011,SLA Breach,Critical,2022-01-31,Open,
INC0002,D004,Sanctions Breach,Critical,2020-02-24,Open,
INC0003,D011,Refund Fraud,Low,2023-09-25,Escalated,
INC0004,D001,Financial Misstatement,Low,2021-08-10,Open,
INC0005,D009,Risk Framework Violation,Low,2023-09-15,Closed,4
INC0006,D004,Regulatory Non-Compliance,Low,2020-10-15,Resolved,76
INC0007,D012,Board Reporting Failure,Low,2021-05-31,Resolved,44
INC0008,D006,Misleading Advertising,Medium,2020-02-01,Open,
INC0009,D006,Competitor Defamation,Medium,2019-06-27,Under Investigation,
INC0010,D012,Strategic Misrepresentation,Medium,2019-11-19,Resolved,69
INC0011,D009,Risk Framework Violation,Medium,2021-02-26,Under Investigation,
INC0012,D012,Strategic Misrepresentation,Critical,2021-07-22,Open,
INC0013,D005,Quality Failure,Low,2023-04-06,Open,
INC0014,D005,Process Non-Compliance,Low,2023-02-25,Resolved,82
INC0015,D006,Data Privacy Breach,Critical,2019-10-20,Open,
INC0016,D010,Conflict of Interest,High,2021-09-29,Escalated,
INC0017,D003,Unauthorised Data Disclosure,Critical,2021-06-18,Resolved,49
INC0018,D011,SLA Breach,Low,2019-05-12,Under Investigation,
INC0019,D006,Misleading Advertising,Low,2022-07-12,Resolved,35
INC0020,D004,Conflict of Interest,Medium,2024-02-23,Escalated,
INC0021,D003,GDPR Breach,Low,2021-12-12,Under Investigation,
INC0022,D012,Disclosure Violation,Medium,2023-01-22,Closed,55
INC0023,D004,Legal Hold Violation,Medium,2020-01-08,Open,
INC0024,D001,Expense Fraud,Critical,2020-10-17,Open,
INC0025,D011,SLA Breach,Medium,2023-04-13,Resolved,77
INC0026,D010,Unauthorised Procurement,High,2019-02-17,Resolved,68
INC0027,D011,SLA Breach,Critical,2021-12-28,Escalated,
INC0028,D011,SLA Breach,Medium,2023-11-16,Under Investigation,
INC0029,D003,Unauthorised Data Disclosure,High,2021-01-01,Resolved,1
